CustomerID,LastName,FirstName,BirthDate,Gender,ParticipantType,RegionID,MaritalStatus
18,Christine,Bowman,1978-03-06,FEMALE,INDIVIDUAL,245,Single
110,Thomas,Burke,1971-09-04,MALE,INDIVIDUAL,388,Married
422,Cynthia,Powell,1970-08-21,FEMALE,INDIVIDUAL,263,Single
457,Gary,Baker,1963-01-01,MALE,INDIVIDUAL,74,Divorced
690,Ruth,Baker,1952-02-13,FEMALE,INDIVIDUAL,146,Married
1002,Barbara,Payne,1966-05-17,FEMALE,INDIVIDUAL,871,Married
1240,Scott,Roberts,1978-01-31,MALE,INDIVIDUAL,863,Married
1326,Patricia,Johnson,1965-02-08,FEMALE,INDIVIDUAL,987,Single
1475,Gerald,Rogers,2012-06-25,MALE,INDIVIDUAL,627,Married
1517,Anthony,Knight,1969-03-19,MALE,INDIVIDUAL,840,Married
1554,Roger,Medina,1952-10-05,MALE,INDIVIDUAL,883,Single
1582,Scott,Miller,1967-07-12,MALE,INDIVIDUAL,142,Married
1971,Jeffrey,Cox,1966-06-30,MALE,INDIVIDUAL,906,Divorced
2165,Jean,Payne,1984-10-17,FEMALE,INDIVIDUAL,412,Single
2286,Bruce,Ortiz,1965-10-20,MALE,INDIVIDUAL,944,Single
2348,Mildred,Reed,2001-08-06,FEMALE,INDIVIDUAL,769,Single
2395,Charles,Riley,1969-10-25,MALE,INDIVIDUAL,983,Married
2932,Jesse,Lane,1991-07-17,MALE,INDIVIDUAL,837,Married
3237,Amanda,Thomas,1951-01-08,FEMALE,INDIVIDUAL,16,Single
3371,Mary,Hernandez,1962-11-24,FEMALE,INDIVIDUAL,767,Single
3919,Amanda,Anderson,1956-01-02,FEMALE,INDIVIDUAL,734,Married
4109,Jack,Simmons,1960-12-10,MALE,INDIVIDUAL,59,Married
4437,Larry,Garza,1973-07-21,MALE,INDIVIDUAL,16,Married
4599,Kenneth,Hernandez,1967-05-03,MALE,INDIVIDUAL,504,Single
5081,Janet,Crawford,1976-05-27,FEMALE,INDIVIDUAL,69,Married
5191,Lois,Woods,1971-10-09,FEMALE,INDIVIDUAL,567,Single
5464,Russell,Harper,1963-03-17,MALE,INDIVIDUAL,385,Married
5465,Matthew,Lewis,1965-02-15,MALE,INDIVIDUAL,375,Single
5480,Martha,Hicks,1968-08-13,FEMALE,INDIVIDUAL,28,Married
6403,Jessica,Boyd,1976-05-30,FEMALE,INDIVIDUAL,459,Married
6441,James,Perez,1966-04-06,MALE,INDIVIDUAL,450,Divorced
